fname,lname,name,citizen,village,sex,age,yob,dthmdy,deathtime,ddthtime,dthmondd,deathdate,deathnote,deathclsnt,deathtype,deathhgtm,deathclass,ams,weather,msuccess,o2used,o2none,myear,mseason,yearseas,msmtbid,msmtterm,expldr,hired,sherpa,tibetan,expid,membid,peakid,host,deathrte,route1,route2,agency,agntid,peakexps,peakabvbc,peaksmts,allexps,allabvbc,allsmts,highexps,highabvbc,highsmts,maxhighpt,maxpeakid
George Blair,Griffiths,George Blair Griffiths,Canada,,M,33,1949,2-Sep-82,9:00,9,2-Sep,9/2/82,Icefall Collapse (5800m),Route preparation,6,5800,3,0,0,0,0,1,1982,3,1982 Aut,No summit bid,Accident (Death or Injury to Self or Others),Canada (William (Bill) March),0,0,0,EVER-823-02,12,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Lhakpa Tshering,Sherpa,Lhakpa Tshering Sherpa (Namche Bazar),Nepal, (Namche Bazar),M,38,,27-Sep-82,13:30,13.5,27-Sep,9/27/82,Illness (non-AMS) (6770m),Route preparation,10,6770,3,0,0,0,0,0,1982,3,1982 Aut,,,Spain (Lluis Belvis Del Rio),1,1,0,EVER-823-01,19,EVER,Nepal,1,Lho La-W Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Nima Dorje,Sherpa,Nima Dorje Sherpa,Nepal,,M,22,,14-Oct-82,10:30,10.5,14-Oct,10/14/82,Fall (8300m),Descending from summit bid,4,8300,5,0,0,0,1,0,1982,3,1982 Aut,Aborted above high camp,"Bad Weather (Storms, High Winds)",Spain (Lluis Belvis Del Rio),1,1,0,EVER-823-01,20,EVER,Nepal,1,Lho La-W Ridge,,,,2,2,0,6,6,4,4,4,2,8586,KANG
Yasuo,Kato,Yasuo Kato,Japan,,M,33,1949,28-Dec-82,,0,28-Dec,12/28/82,Fall (8800m)(w),Descending from summit bid,4,8800,5,0,1,1,1,0,1982,4,1982 Win,Successful bid,Success,Japan (Yasuo Kato),0,0,0,EVER-824-02,1,EVER,Nepal,1,S Col-SE Ridge,,,,2,2,2,4,4,3,4,4,3,8849,EVER
Toshiaki,Kobayashi,Toshiaki Kobayashi,Japan,,M,34,1948,28-Dec-82,,0,28-Dec,12/28/82,Fall (8800m)(w),Descending from summit bid,4,8800,5,0,1,0,1,0,1982,4,1982 Win,No summit bid,Route/Camp Preparation or Fixing Rope,Japan (Yasuo Kato),0,0,0,EVER-824-02,3,EVER,Nepal,1,S Col-SE Ridge,,,,1,1,0,4,4,1,4,4,1,8300,EVER
Hironobu,Kamuro,Hironobu Kamuro,Japan,,M,31,1951,8-Oct-83,18:00,18,8-Oct,10/8/83,Fall (8800m),Descending from summit bid,4,8800,5,0,0,1,0,1,1983,3,1983 Aut,Successful bid,Success,Japan (Hiroshi Yoshino),0,0,0,EVER-833-06,3,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,1,1,1,1,1,1,8167,DHA1
Pasang Temba,Sherpa,Pasang Temba Sherpa,Nepal,,M,0,,8-Oct-83,17:00,17,8-Oct,10/8/83,Fall (8600m),Descending from summit bid,4,8600,5,0,0,0,0,1,1983,3,1983 Aut,,,Japan (Haruichi Kawamura),1,1,0,EVER-833-05,7,EVER,Nepal,1,S Pillar-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Hiroshi,Yoshino,Hiroshi Yoshino,Japan,,M,33,1950,9-Oct-83,6:30,6.5,9-Oct,10/9/83,Fall (8800m),Descending from summit bid,4,8800,5,0,0,1,0,1,1983,3,1983 Aut,Successful bid,Success,Japan (Hiroshi Yoshino),0,0,0,EVER-833-06,1,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,2,2,1,2,2,1,8167,DHA1
Ang Rinji,Sherpa,Ang Rinji Sherpa (Rimijung),Nepal, (Rimijung),M,49,,26-Mar-84,8:08,8.13,26-Mar,3/26/84,Avalanche (5600m),Route preparation,7,5600,3,0,0,0,0,1,1984,1,1984 Spr,No summit bid,Accident (Death or Injury to Self or Others),India (Darshan Kumar Khullar),1,1,0,EVER-841-02,27,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Jangbir,Rai,Jangbir Rai,Nepal,,M,0,,28-Mar-84,,0,28-Mar,3/28/84,AMS (4900m)(a)(e),Death enroute BC,1,4900,1,1,0,0,0,1,1984,1,1984 Spr,No summit bid,Did Not Climb or Intend to Smt,India (Darshan Kumar Khullar),1,0,0,EVER-841-02,25,EVER,Nepal,0,,,,,0,0,0,0,0,0,0,0,0,0,
